name,datetime (utc timezone),followed
aom.bnk48official,2018-05-31 08:00:00,51005
panda.bnk48official,2018-05-31 08:00:00,49365
myyu.bnk48official,2018-05-31 08:00:00,49288
pakwan.bnk48office,2018-05-31 08:00:00,49246
deenee.bnk48official,2018-05-31 08:00:00,48371
wee.bnk48official,2018-05-31 08:00:00,47665
kheng.bnk48official,2018-05-31 08:00:00,46607
phukkhom.bnk48office,2018-05-31 08:00:00,45857
niky.bnk48office,2018-05-31 08:00:00,45250
fifa.bnk48official,2018-05-31 08:00:00,44021
view.bnk48official,2018-05-31 08:00:00,43592
new.bnk48official,2018-05-31 08:00:00,43425
stang.bnk48office,2018-05-31 08:00:00,43108
gygee.bnk48official,2018-05-31 08:00:00,42334
khamin.bnk48official,2018-05-31 08:00:00,41178
minmin.bnk48office,2018-05-31 08:00:00,40904
natherine.bnk48official,2018-05-31 08:00:00,39474
maira.bnk48official,2018-05-31 08:00:00,39386
oom.bnk48official,2018-05-31 08:00:00,38916
faii.bnk48official,2018-05-31 08:00:00,38720
nine.bnk48official,2018-05-31 08:00:00,35729
pun.bnk48official,2018-05-31 07:00:00,467872
cherprang.bnk48official,2018-05-31 07:00:00,396324
orn.bnk48official,2018-05-31 07:00:00,310961
jennis.bnk48official,2018-05-31 07:00:00,283546
music.bnk48official,2018-05-31 07:00:00,275325
mobile.bnk48official,2018-05-31 07:00:00,272077
noey.bnk48office,2018-05-31 07:00:00,260005
kaimook.bnk48official,2018-05-31 07:00:00,242931
kaew.bnk48official,2018-05-31 07:00:00,220205
tarwaan.bnk48office,2018-05-31 07:00:00,196456
satchan.bnk48official,2018-05-31 07:00:00,191908
namneung.bnk48official,2018-05-31 07:00:00,183242
pupe.bnk48official,2018-05-31 07:00:00,171670
namsai.bnk48official,2018-05-31 07:00:00,162968
miori.bnk48official,2018-05-31 07:00:00,161883
jane.bnk48official,2018-05-31 07:00:00,160525
can.bnk48official,2018-05-31 07:00:00,154672
jaa.bnk48official,2018-05-31 07:00:00,141509
rinaizuta.bnk48official,2018-05-31 07:00:00,140488
korn.bnk48official,2018-05-31 07:00:00,137761
mind.bnk48official,2018-05-31 07:00:00,130180
maysa.bnk48official,2018-05-31 07:00:00,130016
nink.bnk48official,2018-05-31 07:00:00,122395
kate.bnk48official,2018-05-31 07:00:00,114445
piam.bnk48office,2018-05-31 07:00:00,114250
jib.bnk48office,2018-05-31 07:00:00,107985
mewnich.bnk48official,2018-05-31 07:00:00,94659
fond.bnk48office,2018-05-31 07:00:00,81981
june.bnk48office,2018-05-31 07:00:00,78040
ratah.bnk48official,2018-05-31 07:00:00,65357
cake.bnk48official,2018-05-31 07:00:00,57429
bamboo.bnk48office,2018-05-31 07:00:00,56884
aom.bnk48official,2018-05-31 07:00:00,50992
panda.bnk48official,2018-05-31 07:00:00,49354
myyu.bnk48official,2018-05-31 07:00:00,49274
pakwan.bnk48office,2018-05-31 07:00:00,49231
deenee.bnk48official,2018-05-31 07:00:00,48355
wee.bnk48official,2018-05-31 07:00:00,47649
kheng.bnk48official,2018-05-31 07:00:00,46591
phukkhom.bnk48office,2018-05-31 07:00:00,45845
niky.bnk48office,2018-05-31 07:00:00,45234
fifa.bnk48official,2018-05-31 07:00:00,44009
view.bnk48official,2018-05-31 07:00:00,43577
new.bnk48official,2018-05-31 07:00:00,43405
stang.bnk48office,2018-05-31 07:00:00,42783
gygee.bnk48official,2018-05-31 07:00:00,42322
khamin.bnk48official,2018-05-31 07:00:00,41162
minmin.bnk48office,2018-05-31 07:00:00,40892
natherine.bnk48official,2018-05-31 07:00:00,39461
maira.bnk48official,2018-05-31 07:00:00,39374
oom.bnk48official,2018-05-31 07:00:00,38905
faii.bnk48official,2018-05-31 07:00:00,38712
nine.bnk48official,2018-05-31 07:00:00,35718
pun.bnk48official,2018-05-31 06:00:00,467813
cherprang.bnk48official,2018-05-31 06:00:00,396271
orn.bnk48official,2018-05-31 06:00:00,310921
jennis.bnk48official,2018-05-31 06:00:00,283516
music.bnk48official,2018-05-31 06:00:00,275275
mobile.bnk48official,2018-05-31 06:00:00,272037
noey.bnk48office,2018-05-31 06:00:00,259970
kaimook.bnk48official,2018-05-31 06:00:00,242896
kaew.bnk48official,2018-05-31 06:00:00,220163
tarwaan.bnk48office,2018-05-31 06:00:00,196421
satchan.bnk48official,2018-05-31 06:00:00,191884
namneung.bnk48official,2018-05-31 06:00:00,183215
pupe.bnk48official,2018-05-31 06:00:00,171643
namsai.bnk48official,2018-05-31 06:00:00,162945
miori.bnk48official,2018-05-31 06:00:00,161870
jane.bnk48official,2018-05-31 06:00:00,160504
can.bnk48official,2018-05-31 06:00:00,154655
jaa.bnk48official,2018-05-31 06:00:00,141488
rinaizuta.bnk48official,2018-05-31 06:00:00,140474
korn.bnk48official,2018-05-31 06:00:00,137742
mind.bnk48official,2018-05-31 06:00:00,130164
maysa.bnk48official,2018-05-31 06:00:00,129995
nink.bnk48official,2018-05-31 06:00:00,122382
kate.bnk48official,2018-05-31 06:00:00,114433
piam.bnk48office,2018-05-31 06:00:00,114241
jib.bnk48office,2018-05-31 06:00:00,107973
mewnich.bnk48official,2018-05-31 06:00:00,94615
fond.bnk48office,2018-05-31 06:00:00,81958
june.bnk48office,2018-05-31 06:00:00,78019
ratah.bnk48official,2018-05-31 06:00:00,65341
cake.bnk48official,2018-05-31 06:00:00,57420
bamboo.bnk48office,2018-05-31 06:00:00,56862
aom.bnk48official,2018-05-31 06:00:00,50981
panda.bnk48official,2018-05-31 06:00:00,49343
myyu.bnk48official,2018-05-31 06:00:00,49262
pakwan.bnk48office,2018-05-31 06:00:00,49220
deenee.bnk48official,2018-05-31 06:00:00,48345
wee.bnk48official,2018-05-31 06:00:00,47634
kheng.bnk48official,2018-05-31 06:00:00,46581
phukkhom.bnk48office,2018-05-31 06:00:00,45832
niky.bnk48office,2018-05-31 06:00:00,45223
fifa.bnk48official,2018-05-31 06:00:00,43998
view.bnk48official,2018-05-31 06:00:00,43563
new.bnk48official,2018-05-31 06:00:00,43395
stang.bnk48office,2018-05-31 06:00:00,42773
gygee.bnk48official,2018-05-31 06:00:00,42314
khamin.bnk48official,2018-05-31 06:00:00,41149
minmin.bnk48office,2018-05-31 06:00:00,40882
natherine.bnk48official,2018-05-31 06:00:00,39452
maira.bnk48official,2018-05-31 06:00:00,39363
oom.bnk48official,2018-05-31 06:00:00,38894
faii.bnk48official,2018-05-31 06:00:00,38701
nine.bnk48official,2018-05-31 06:00:00,35709
pun.bnk48official,2018-05-31 05:00:00,467776
cherprang.bnk48official,2018-05-31 05:00:00,396225
orn.bnk48official,2018-05-31 05:00:00,310882
jennis.bnk48official,2018-05-31 05:00:00,283478
music.bnk48official,2018-05-31 05:00:00,275229
mobile.bnk48official,2018-05-31 05:00:00,271995
noey.bnk48office,2018-05-31 05:00:00,259938
kaimook.bnk48official,2018-05-31 05:00:00,242868
kaew.bnk48official,2018-05-31 05:00:00,220129
tarwaan.bnk48office,2018-05-31 05:00:00,196395
satchan.bnk48official,2018-05-31 05:00:00,191866
namneung.bnk48official,2018-05-31 05:00:00,183189
pupe.bnk48official,2018-05-31 05:00:00,171612
namsai.bnk48official,2018-05-31 05:00:00,162915
