name,datetime (utc timezone),fan_count
bnk48official.music,2018-05-31 13:00:00,204593
bnk48official.kaimook,2018-05-31 13:00:00,202330
bnk48official.mobile,2018-05-31 13:00:00,202037
bnk48official.kaew,2018-05-31 13:00:00,166001
bnk48official.jan,2018-05-31 13:00:00,134527
bnk48official.satchan,2018-05-31 13:00:00,129346
bnk48official.tarwaan,2018-05-31 13:00:00,126967
bnk48official.namneung,2018-05-31 13:00:00,124591
bnk48official.pupe,2018-05-31 13:00:00,117118
bnk48official.can,2018-05-31 13:00:00,105869
bnk48official.namsai,2018-05-31 13:00:00,98403
bnk48official.miori,2018-05-31 13:00:00,85395
bnk48official.mewnich,2018-05-31 13:00:00,84314
bnk48official.jane,2018-05-31 13:00:00,76854
bnk48official.korn,2018-05-31 13:00:00,74658
bnk48official.mind,2018-05-31 13:00:00,71206
bnk48official.maysa,2018-05-31 13:00:00,69616
bnk48official.nink,2018-05-31 13:00:00,63086
bnk48official.jaa,2018-05-31 13:00:00,59588
bnk48official.piam,2018-05-31 13:00:00,58887
bnk48official.izutarina,2018-05-31 13:00:00,54427
bnk48official.fond,2018-05-31 13:00:00,47520
bnk48official.jib,2018-05-31 13:00:00,47505
bnk48official.ratah,2018-05-31 13:00:00,43221
bnk48official.kate,2018-05-31 13:00:00,40105
bnk48official.june,2018-05-31 13:00:00,35879
bnk48official.bamboo,2018-05-31 13:00:00,25091
bnk48official.cake,2018-05-31 13:00:00,20713
bnk48official.panda,2018-05-31 13:00:00,19621
bnk48official.wee,2018-05-31 13:00:00,18867
bnk48official.phukkhom,2018-05-31 13:00:00,15892
bnk48official.kheng,2018-05-31 13:00:00,15435
bnk48official.new,2018-05-31 13:00:00,14886
bnk48official.niky,2018-05-31 13:00:00,13800
bnk48official.stang,2018-05-31 13:00:00,13668
bnk48official.natherine,2018-05-31 13:00:00,13654
pakwan.bnk48official,2018-05-31 13:00:00,13644
bnk48official.oom,2018-05-31 13:00:00,12994
bnk48official.aom,2018-05-31 13:00:00,12823
bnk48official.view,2018-05-31 13:00:00,12797
bnk48official.faii,2018-05-31 13:00:00,12695
bnk48official.minmin,2018-05-31 13:00:00,11626
bnk48official.maira,2018-05-31 13:00:00,10306
bnk48official.deenee,2018-05-31 13:00:00,10204
bnk48official.gygee,2018-05-31 13:00:00,9729
bnk48official.myyu,2018-05-31 13:00:00,9309
bnk48official.khamin,2018-05-31 13:00:00,9276
bnk48official.nine,2018-05-31 13:00:00,7228
bnk48official.fifa,2018-05-31 13:00:00,5583
bnk48official.pun,2018-05-31 12:00:00,455715
bnk48official.cherprang,2018-05-31 12:00:00,415433
bnk48official.orn,2018-05-31 12:00:00,266731
bnk48official.noey,2018-05-31 12:00:00,213526
bnk48official.jennis,2018-05-31 12:00:00,209614
bnk48official.music,2018-05-31 12:00:00,204555
bnk48official.kaimook,2018-05-31 12:00:00,202286
bnk48official.mobile,2018-05-31 12:00:00,201986
bnk48official.kaew,2018-05-31 12:00:00,165956
bnk48official.jan,2018-05-31 12:00:00,134520
bnk48official.satchan,2018-05-31 12:00:00,129325
bnk48official.tarwaan,2018-05-31 12:00:00,126941
bnk48official.namneung,2018-05-31 12:00:00,124564
bnk48official.pupe,2018-05-31 12:00:00,117086
bnk48official.can,2018-05-31 12:00:00,105857
bnk48official.namsai,2018-05-31 12:00:00,98385
bnk48official.miori,2018-05-31 12:00:00,85385
bnk48official.mewnich,2018-05-31 12:00:00,84278
bnk48official.jane,2018-05-31 12:00:00,76837
bnk48official.korn,2018-05-31 12:00:00,74642
bnk48official.mind,2018-05-31 12:00:00,71190
bnk48official.maysa,2018-05-31 12:00:00,69604
bnk48official.nink,2018-05-31 12:00:00,63079
bnk48official.jaa,2018-05-31 12:00:00,59582
bnk48official.piam,2018-05-31 12:00:00,58879
bnk48official.izutarina,2018-05-31 12:00:00,54415
bnk48official.fond,2018-05-31 12:00:00,47504
